username;Data;stories
ocupa_politica;21/6/2018-2:8;0
agoramovimento;21/6/2018-2:8;4
as_muitas;21/6/2018-2:8;0
bancadaativista;21/6/2018-2:8;0
renovabr;21/6/2018-2:8;4
midianinja;21/6/2018-2:8;2
342artes;21/6/2018-2:8;0
movimentosemterra;21/6/2018-2:8;9
uneoficial;21/6/2018-2:8;0
cutbrasil;21/6/2018-2:8;0
coletivojuntos;21/6/2018-2:8;0
movimentocorrenteza;21/6/2018-2:8;0
ujs_brasil;21/6/2018-2:8;2
ujr_brasil;21/6/2018-2:8;0
movimentoolga;21/6/2018-2:8;1
ubesoficial;21/6/2018-2:8;0
ujcbrasil;21/6/2018-2:8;0
rua_juventudeanticapitalista;21/6/2018-2:8;0
afronte.nacional;21/6/2018-2:8;0
contag;21/6/2018-2:8;0
portalgeledes;21/6/2018-2:8;2
marchamulheres;21/6/2018-2:8;0
naokahlo;21/6/2018-2:9;2
vemprarua_br;21/6/2018-2:9;0
revoltadoson;21/6/2018-2:9;0
estudantespelaliberdade;21/6/2018-2:9;0
mblivre;21/6/2018-2:9;2
movimentocontraacorrupcao;21/6/2018-2:9;0
nasruasbrasil;21/6/2018-2:9;0
luizinacioluladasilvaoficial;21/6/2018-2:9;1
fernandohaddadoficial;21/6/2018-2:9;0
cirogomes;21/6/2018-2:9;1
jdoriajr;21/6/2018-2:9;5
geraldoalckmin_;21/6/2018-2:9;3
jairmessiasbolsonaro;21/6/2018-2:9;1
micheltemer;21/6/2018-2:9;0
_marinasilva_;21/6/2018-2:9;6
levyfidelix28;21/6/2018-2:9;0
pastoreveraldo;21/6/2018-2:9;0
robertoljustus;21/6/2018-2:9;0
guilhermeboulos.oficial;21/6/2018-2:9;20
jaqueswagner;21/6/2018-2:9;0
fernando_collor;21/6/2018-2:9;1
buarquecristovam;21/6/2018-2:9;1
